№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Сальдо;Каталог
7;г. Воронеж;г. Воронеж, ул. Минская, д.2б;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
9;г. Иваново;г. Иваново, пр-т Текстильщиков, д.10/16;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
12;г. Волгоград;г. Волгоград, ул. Коммунистическая, д.40;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
13;г. Омск;г. Омск, ул. Звездова, д.101а;01.01.2021;;;7;UTC+5;1;1;0;0;0;Рассылка
17;г. Самара;г. Самара, пр-т Ленина, д.17;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
18;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Ветеранов, д.114;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
19;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Шафировский, д.2аб;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
20;г. Тула;г. Тула, пл. Крестовоздвиженская, д.2;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
22;г. Тюмень;г. Тюмень, ул. Рижская, д.61;01.01.2021;;;7;UTC+5;1;1;0;0;0;Рассылка
24;г. Чебоксары;г. Чебоксары, пр-т Московский, д. 3;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
25;г. Хабаровск;г. Хабаровск, ул. Гамарника, д. 22;01.01.2021;;;7;UTC+10;1;1;0;0;0;Рассылка
58;г. Барнаул;г. Барнаул, ул. Георгия Исакова, д.270;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
60;г. Братск;г. Братск, ул. Ленина, д.35;01.01.2021;;;7;UTC+3;1;1;1;1;0;РРЭ
61;г. Волгоград;г. Волгоград, ул. 64 Армии, д.44;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
62;г. Воронеж;г. Воронеж, ул. 9 Января, д.28;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
63;г. Воронеж;г. Воронеж, ул. 9 Января, д.302а;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
64;г. Ейск;г. Ейск, ул. Армавирская, д.46;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
66;г. Иваново;г. Иваново, пр-т Текстильщиков, д.10/16;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
67;г. Йошкар-Ола;г. Йошкар-Ола, ул. Карла Маркса, д.109б;01.01.2021;;;7;UTC+3;1;1;1;1;0;РРЭ
68;г. Камень-на-Оби;г. Камень-на-Оби, ул. Ленина, д.72б;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
69;г. Киров;г. Киров, ул. Дерендяева 25;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
70;г. Красноярск;г. Красноярск, ул. Мечникова, д.54, стр. 6;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
71;г. Красноярск;г. Красноярск, ул. Телевизорная, д.1, стр.15;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
72;г. Мурманск;г. Мурманск, пр-т Ленина, д.37;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
73;г. Набережные челны;г. Набережные Челны, пр. им. Раиса Беляева , д.18;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
74;г. Одинцово;г. Одинцово, ул. Молодёжная, д.25;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
76;г. Пермь;г. Пермь, ш. Космонавтов, д.349;01.01.2021;;;7;UTC+3;1;1;1;1;0;РРЭ
77;г. Пермь;г. Пермь, б-р Гагарина, д.65а;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
78;г. Пермь;г. Пермь, ул. Сибирская, д.48/1;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
79;г. Пермь;г. Пермь, ул. Куйбышева, д.66/1;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
81;г. Самара;г. Самара, ул. Советская, д. /ул. Победы, д.144;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
84;г. Самара;г. Самара, ул. Самарская, д.207;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
85;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Ветеранов, д.114;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
89;г. Уфа;г. Уфа, ул. Рихарда Зорге, д.5;01.01.2021;;;7;UTC+3;1;1;0;0;0;РРЭ
90;г. Санкт-Петербург;г. Санкт-Петербург, пр-т Невский, д.99/101;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
91;г. Москва;ул. Вавилова, д.19;01.01.2021;;;144;UTC+3;1;1;0;0;0;ОРЭМ
92;г. Санкт-Петербург;г. Санкт-Петербург, ул. Красного текстильщика, д.2;01.01.2021;;;7;UTC+3;1;1;0;0;0;Рассылка
