№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
;;ш. Можайское, д.9 стр.1 (Доп.офис №5278/0859);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ш. Можайское, д.41 к.1 (Доп.офис №5278/0862);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ш. Рублевское, д.16 к.1 (Доп.офис №5278/01537);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ш. Рублевское, д.34, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ш. Рублевское, д.99, к.4 (ТП №22722. Ввод №1. Сч. №1);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Химкинский, д.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Яна Райниса, д.1, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р Яна Райниса, д.30, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р. Никитский, д.10/5, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;б-р. Строгинский, д.23;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Богословский переулок, д.12А;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;наб. Карамышевская, д.56, к.2, стр.1 (Доп. офис №1569/0794);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;наб. Новикова-Прибоя, д. 5 к. 2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;наб. Шелепихинская, д.16;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пер. 3-й Митинский, д.6, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пер. Б.Палашевский, д.1/14;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пер. Грузинский, д.14, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пер. Леонтьевский, д.14, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пер. Малый Патриарший, д.5, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пр-д Новотушинский, д.8, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пр. 1-й Тушинский, д.8, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пр. Донелайтиса, д.19;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пр. Неманский, д.9;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
