№;P+, кВт;R+, кВар;Время;Дата
416;0.7260;0.0980;16:00;09.09.2019
417;0.7660;0.1030;16:30;09.09.2019
418;0.7390;0.0980;17:00;09.09.2019
419;0.7140;0.0970;17:30;09.09.2019
420;0.6950;0.0930;18:00;09.09.2019
421;0.6420;0.0790;18:30;09.09.2019
422;0.6290;0.0750;19:00;09.09.2019
423;0.5770;0.0640;19:30;09.09.2019
424;0.5330;0.0570;20:00;09.09.2019
425;0.5510;0.0630;20:30;09.09.2019
426;0.5850;0.0770;21:00;09.09.2019
427;0.6130;0.0730;21:30;09.09.2019
428;0.6140;0.0610;22:00;09.09.2019
429;0.6110;0.0700;22:30;09.09.2019
430;0.5840;0.0610;23:00;09.09.2019
431;0.5670;0.0630;23:30;09.09.2019
432;0.5260;0.0550;00:00;10.09.2019
433;0.5180;0.0500;00:30;10.09.2019
434;0.5140;0.0550;01:00;10.09.2019
435;0.5800;0.0610;01:30;10.09.2019
436;0.5580;0.0540;02:00;10.09.2019
437;0.5470;0.0600;02:30;10.09.2019
438;0.5650;0.0590;03:00;10.09.2019
439;0.5980;0.0680;03:30;10.09.2019
440;0.5280;0.0550;04:00;10.09.2019
441;0.5480;0.0570;04:30;10.09.2019
442;0.5720;0.0620;05:00;10.09.2019
443;0.5860;0.0540;05:30;10.09.2019
444;0.5370;0.0540;06:00;10.09.2019
445;0.5270;0.0440;06:30;10.09.2019
446;0.4810;0.0370;07:00;10.09.2019
447;0.4820;0.0330;07:30;10.09.2019
448;0.5250;0.0250;08:00;10.09.2019
449;0.5860;0.0260;08:30;10.09.2019
450;0.6550;0.0660;09:00;10.09.2019
451;0.6770;0.0810;09:30;10.09.2019
452;0.6940;0.0770;10:00;10.09.2019
453;0.6900;0.0740;10:30;10.09.2019
454;0.7240;0.0800;11:00;10.09.2019
455;0.7460;0.0950;11:30;10.09.2019
456;0.7030;0.0820;12:00;10.09.2019
457;0.6710;0.0670;12:30;10.09.2019
458;0.6780;0.0700;13:00;10.09.2019
459;0.6770;0.0730;13:30;10.09.2019
