№;P+, кВт;Время;Дата
561;0.3300;16:30;12.03.2019
562;0.3450;17:00;12.03.2019
563;0.3070;17:30;12.03.2019
564;0.3150;18:00;12.03.2019
565;0.2710;18:30;12.03.2019
566;0.2780;19:00;12.03.2019
567;0.2750;19:30;12.03.2019
568;0.2700;20:00;12.03.2019
569;0.2730;20:30;12.03.2019
570;0.2650;21:00;12.03.2019
571;0.2520;21:30;12.03.2019
572;0.2570;22:00;12.03.2019
573;0.2420;22:30;12.03.2019
574;0.2270;23:00;12.03.2019
575;0.2150;23:30;12.03.2019
576;0.2210;00:00;13.03.2019
577;0.1900;00:30;13.03.2019
578;0.1880;01:00;13.03.2019
579;0.1830;01:30;13.03.2019
580;0.1890;02:00;13.03.2019
581;0.1850;02:30;13.03.2019
582;0.1850;03:00;13.03.2019
583;0.1860;03:30;13.03.2019
584;0.1850;04:00;13.03.2019
585;0.1840;04:30;13.03.2019
586;0.1800;05:00;13.03.2019
587;0.1780;05:30;13.03.2019
588;0.1760;06:00;13.03.2019
589;0.2030;06:30;13.03.2019
590;0.3920;07:00;13.03.2019
591;0.5030;07:30;13.03.2019
592;0.5090;08:00;13.03.2019
593;0.4710;08:30;13.03.2019
594;0.4820;09:00;13.03.2019
595;0.5210;09:30;13.03.2019
596;0.5280;10:00;13.03.2019
597;0.5420;10:30;13.03.2019
598;0.5330;11:00;13.03.2019
599;0.5410;11:30;13.03.2019
600;0.4700;12:00;13.03.2019
601;0.5040;12:30;13.03.2019
602;0.5030;13:00;13.03.2019
603;0.5370;13:30;13.03.2019
604;0.4950;14:00;13.03.2019
605;0.4470;14:30;13.03.2019
606;0.5080;15:00;13.03.2019
607;0.5130;15:30;13.03.2019
608;0.4220;16:00;13.03.2019
609;0.3810;16:30;13.03.2019
610;0.3160;17:00;13.03.2019
611;0.3110;17:30;13.03.2019
612;0.2660;18:00;13.03.2019
613;0.2630;18:30;13.03.2019
614;0.2780;19:00;13.03.2019
615;0.2570;19:30;13.03.2019
616;0.2700;20:00;13.03.2019
617;0.2770;20:30;13.03.2019
618;0.2680;21:00;13.03.2019
619;0.2530;21:30;13.03.2019
620;0.2630;22:00;13.03.2019
621;0.2510;22:30;13.03.2019
622;0.2500;23:00;13.03.2019
623;0.2300;23:30;13.03.2019
624;0.2080;00:00;14.03.2019
625;0.1950;00:30;14.03.2019
626;0.1930;01:00;14.03.2019
627;0.1920;01:30;14.03.2019
628;0.1940;02:00;14.03.2019
629;0.1970;02:30;14.03.2019
630;0.1940;03:00;14.03.2019
631;0.1950;03:30;14.03.2019
632;0.1920;04:00;14.03.2019
633;0.1920;04:30;14.03.2019
634;0.1920;05:00;14.03.2019
635;0.1980;05:30;14.03.2019
636;0.2830;06:00;14.03.2019
637;0.2770;06:30;14.03.2019
638;0.3550;07:00;14.03.2019
639;0.4520;07:30;14.03.2019
640;0.5050;08:00;14.03.2019
641;0.5430;08:30;14.03.2019
642;0.4890;09:00;14.03.2019
643;0.5700;09:30;14.03.2019
644;0.5280;10:00;14.03.2019
645;0.5670;10:30;14.03.2019
646;0.5210;11:00;14.03.2019
647;0.5230;11:30;14.03.2019
648;0.4660;12:00;14.03.2019
649;0.4640;12:30;14.03.2019
650;0.5150;13:00;14.03.2019
651;0.5270;13:30;14.03.2019
652;0.5340;14:00;14.03.2019
653;0.4900;14:30;14.03.2019
654;0.4930;15:00;14.03.2019
655;0.4250;15:30;14.03.2019
656;0.3710;16:00;14.03.2019
657;0.3610;16:30;14.03.2019
658;0.3400;17:00;14.03.2019
659;0.3130;17:30;14.03.2019
660;0.3030;18:00;14.03.2019
661;0.2790;18:30;14.03.2019
662;0.2800;19:00;14.03.2019
663;0.2650;19:30;14.03.2019
664;0.2560;20:00;14.03.2019
665;0.2820;20:30;14.03.2019
666;0.2590;21:00;14.03.2019
667;0.2630;21:30;14.03.2019
668;0.2540;22:00;14.03.2019
669;0.2420;22:30;14.03.2019
670;0.2220;23:00;14.03.2019
671;0.2220;23:30;14.03.2019
672;0.2270;00:00;15.03.2019
673;0.1990;00:30;15.03.2019
674;0.1980;01:00;15.03.2019
675;0.2000;01:30;15.03.2019
676;0.1980;02:00;15.03.2019
677;0.1960;02:30;15.03.2019
678;0.1990;03:00;15.03.2019
679;0.1990;03:30;15.03.2019
680;0.1980;04:00;15.03.2019
681;0.1960;04:30;15.03.2019
682;0.2010;05:00;15.03.2019
683;0.1890;05:30;15.03.2019
684;0.1840;06:00;15.03.2019
685;0.2690;06:30;15.03.2019
686;0.4600;07:00;15.03.2019
687;0.5070;07:30;15.03.2019
688;0.4630;08:00;15.03.2019
689;0.4900;08:30;15.03.2019
690;0.5200;09:00;15.03.2019
691;0.5420;09:30;15.03.2019
692;0.5240;10:00;15.03.2019
693;0.5560;10:30;15.03.2019
694;0.5090;11:00;15.03.2019
695;0.5230;11:30;15.03.2019
696;0.4740;12:00;15.03.2019
697;0.4970;12:30;15.03.2019
698;0.4900;13:00;15.03.2019
699;0.5110;13:30;15.03.2019
700;0.5050;14:00;15.03.2019
701;0.4680;14:30;15.03.2019
702;0.4500;15:00;15.03.2019
703;0.3980;15:30;15.03.2019
704;0.3150;16:00;15.03.2019
705;0.3600;16:30;15.03.2019
706;0.3580;17:00;15.03.2019
707;0.3070;17:30;15.03.2019
708;0.2590;18:00;15.03.2019
709;0.2810;18:30;15.03.2019
710;0.2630;19:00;15.03.2019
711;0.2620;19:30;15.03.2019
712;0.2490;20:00;15.03.2019
713;0.2530;20:30;15.03.2019
714;0.2560;21:00;15.03.2019
715;0.2470;21:30;15.03.2019
716;0.2290;22:00;15.03.2019
717;0.2430;22:30;15.03.2019
718;0.2170;23:00;15.03.2019
719;0.2080;23:30;15.03.2019
720;0.2180;00:00;16.03.2019
721;0.2040;00:30;16.03.2019
722;0.1900;01:00;16.03.2019
723;0.1960;01:30;16.03.2019
724;0.1880;02:00;16.03.2019
725;0.1870;02:30;16.03.2019
726;0.1870;03:00;16.03.2019
727;0.1880;03:30;16.03.2019
728;0.1890;04:00;16.03.2019
729;0.1890;04:30;16.03.2019
730;0.1840;05:00;16.03.2019
731;0.1870;05:30;16.03.2019
732;0.1830;06:00;16.03.2019
733;0.1830;06:30;16.03.2019
734;0.1810;07:00;16.03.2019
735;0.1880;07:30;16.03.2019
736;0.1820;08:00;16.03.2019
737;0.2380;08:30;16.03.2019
738;0.2730;09:00;16.03.2019
739;0.2680;09:30;16.03.2019
740;0.2260;10:00;16.03.2019
741;0.2220;10:30;16.03.2019
742;0.2200;11:00;16.03.2019
743;0.2390;11:30;16.03.2019
744;0.2610;12:00;16.03.2019
745;0.2370;12:30;16.03.2019
746;0.2490;13:00;16.03.2019
747;0.2590;13:30;16.03.2019
748;0.2450;14:00;16.03.2019
749;0.2590;14:30;16.03.2019
750;0.2350;15:00;16.03.2019
751;0.2280;15:30;16.03.2019
752;0.2200;16:00;16.03.2019
753;0.2570;16:30;16.03.2019
754;0.2610;17:00;16.03.2019
755;0.2330;17:30;16.03.2019
756;0.2350;18:00;16.03.2019
757;0.2360;18:30;16.03.2019
758;0.2430;19:00;16.03.2019
759;0.2460;19:30;16.03.2019
760;0.2290;20:00;16.03.2019
761;0.2470;20:30;16.03.2019
762;0.2240;21:00;16.03.2019
763;0.2330;21:30;16.03.2019
764;0.2550;22:00;16.03.2019
765;0.2220;22:30;16.03.2019
766;0.2090;23:00;16.03.2019
767;0.2020;23:30;16.03.2019
768;0.2080;00:00;17.03.2019
769;0.1840;00:30;17.03.2019
770;0.1800;01:00;17.03.2019
771;0.1850;01:30;17.03.2019
772;0.1780;02:00;17.03.2019
773;0.1810;02:30;17.03.2019
